id,moe_under_185,margin_of_error_total
271230301001,148.52272553383875,195
271230301002,240.22905735984563,398
271230301003,86.89649014776144,170
271230301004,115.97413504743201,160
271230301005,134.8332303254654,240
271230302011,197.34234213670416,226
271230302012,145.44414735560864,304
271230302013,189.27229062913568,206
271230302014,80.69696400732806,220
271230302021,144.42645187083977,140
271230303001,56.92099788303083,342
271230303002,44.12482294582042,314
271230303003,111.72287142747452,218
271230303004,43.139309220245984,314
271230303005,114.42464769445436,186
271230303006,69.75672010638115,266
271230303007,166.844238737812,293
271230304001,582.744369342167,554
271230304002,694.2960463663898,618
271230304003,536.7746268220956,605
271230305001,617.9894821111441,548
271230305002,495.7106010567053,499
271230305003,298.8176701602501,308
271230305004,353.9533867615904,293
271230306011,632.4832013579492,513
271230306012,719.2934032785231,600
271230306021,116.33572108342304,210
271230306022,107.86565718522277,150
271230306023,130.10380470993152,196
271230306024,246.5866987491418,340
271230307021,358.40200892294115,345
271230307022,128.2380598730346,313
271230307023,242.45824382767438,272
271230307024,207.08210931898486,241
271230307025,293.9472741836536,340
271230307031,190.01578881766642,257
271230307032,399.11276601983053,373
271230307033,275.4360179787676,349
271230307041,235.89616359746083,301
271230307042,175.15136311202377,219
271230307043,498.80657573853216,344
271230308001,418.48058497378344,438
271230308002,256.6846314059336,437
271230308003,316.2831010345004,291
271230308004,312.6851451540351,372
271230309001,223.082944215823,304
271230309002,574.5032636983013,575
271230309003,610.3630067427088,455
271230310001,286.1852546865404,310
271230310002,533.4388437300006,524
271230310003,407.6162410895817,317
271230310004,167.69019053003666,228
271230310005,131.14877048604,239
271230311001,362.87601188284685,358
271230311002,267.4771018236888,266
271230311003,357.9539076473394,340
271230312001,320.8145881969833,329
271230312002,89.72736483370053,193
271230312003,118.97058459972364,203
271230313001,266.99438196336644,249
271230313002,355.6262082580529,342
271230314001,281.96808330022037,236
271230314002,346.0650227919603,292
271230315001,108.04628637764465,245
271230315002,468.6608581906537,430
271230315003,296.24989451474914,279
271230316001,184.18740456393863,360
271230316002,411.06568818134167,330
271230316003,221.11987698983555,263
271230316004,278.5139134765084,303
271230317011,295.94931998570297,417
271230317012,266.2442487641752,314
271230317021,483.7230612654311,537
271230317022,592.2491029963659,442
271230317023,434.656185967714,512
271230317024,544.6668706649965,490
271230318011,389.15421107833333,318
271230318012,465.8701535835924,411
271230318013,123.85475364312829,189
271230318014,323.2816109833654,337
271230318021,239.81451165432003,241
271230318022,209.0406659002023,250
271230318023,270.25728482318476,357
271230318024,197.3930089947463,338
271230319001,216.86401268998046,207
271230319002,178.69806937961025,227
271230320001,139.79628035108803,223
271230320002,370.85172239049933,292
271230320003,94.8525170989152,217
271230321001,168.84904500766356,343
271230321002,190.72493282211425,234
271230322001,86.22644605919926,135
271230322002,70.39886362719217,201
271230322003,169.7203582367183,190
271230323001,62.20932405998316,402
271230323002,174.5050142546053,314
271230323003,236.41700446456892,261
271230323004,63.74166612193315,205
271230324001,323.49188552419673,316
271230324002,213.24868112136122,311
271230325001,276.9566753122228,308
271230325002,353.32562884681886,333
271230325003,296.09795676431133,277
271230325004,109.60383204979651,142
271230326001,361.3073483891519,309
271230326002,224.41033844277317,272
271230326003,182.77581896957813,218
271230327001,290.8401622884983,350
271230327002,409.5351022806226,381
271230330001,153.11107079502776,161
271230330002,221.46331524656628,218
271230331001,115.1911454930456,172
271230331002,192.70703152713446,148
271230332001,142.11263138792413,219
271230332002,334.19904248815556,323
271230333001,173.63467395655744,265
271230333002,62.39390995922599,138
271230333003,249.31305621647655,321
271230334001,244.1618315789755,194
271230334002,139.35924798878617,256
271230334003,115.44695751729449,164
271230335001,370.46187388178015,354
271230335002,268.19209533466864,293
271230335003,451.0243895844215,498
271230336001,410.9428184066489,144
271230337001,230.53850003849684,157
271230338001,329.1109235501004,318
271230338002,142.3411395205195,172
271230339001,204.34774283069535,138
271230340001,207.7281877839404,198
271230340002,85.20563361656318,106
271230342011,228.63945416309934,242
271230342021,160.165539364746,388
271230342022,237.45736459415193,302
271230342023,275.66465134289524,391
271230344001,88.60586888011426,134
271230344002,372.8203320635826,337
271230345001,340.4217971869604,374
271230345002,145.81838018576397,230
271230345003,473.9229895246695,361
271230346011,418.6442403760023,440
271230346012,226.66495097389893,490
271230346013,476.7001153765331,443
271230346021,272.5087154569556,322
271230346022,405.99261077019617,483
271230346023,362.1035763424603,400
271230347011,294.0017006753532,362
271230347012,448.56549131648546,364
271230347013,267.8581714265966,382
271230347021,272.70130179373916,451
271230347022,329.73019273339224,362
271230347023,207.14004924205267,269
271230349001,138.7191407124482,181
271230349002,120.91732712891069,156
271230349003,94.34511116109833,196
271230350001,341.1480616975568,280
271230350002,62.21736092120912,137
271230350003,69.77105417004964,201
271230351001,193.93813446560736,185
271230351002,90.23303164584463,162
271230352001,112.53888216967503,169
271230352002,91.92932067626738,202
271230352003,76.64202502543888,163
271230353001,76.64202502543888,223
271230353002,72.56031973468694,197
271230353003,74.06078584514209,176
271230353004,58.05170109479997,178
271230355001,118.29201156460228,185
271230355002,87.99431799837987,166
271230357001,96.6902270139025,187
271230357002,115.12167476196652,193
271230358001,143.96527359054335,203
271230358002,81.81075723888638,205
271230358003,66.30987860040162,188
271230359001,92.35799911215054,98
271230360001,192.3018460649819,228
271230360002,249.85996077803262,190
271230361001,251.43786508797754,311
271230363001,72.73926037567333,174
271230363002,72.11102550927978,162
271230363003,71.21797525905943,142
271230363004,90.37145567047152,251
271230364001,92.50945897582582,181
271230364002,82.0182906430023,183
271230364003,33.391615714128,110
271230364004,236.9050442687956,209
271230365001,163.04600577751054,191
271230365002,51.56549233741495,168
271230365003,48.8978527135906,127
271230365004,87.1550342780037,153
271230366001,93.04300081145277,183
271230366002,42.07136793592526,280
271230366003,65.23036102920173,102
271230366004,59.89991652748775,190
271230367001,59.43904440685432,176
271230367002,75.91442550661897,170
271230367003,288.26203357362203,348
271230367004,207.92787210953705,361
271230368001,224.42370641266933,290
271230368002,145.92463808418373,199
271230369001,153.25795248534413,117
271230369002,129.0310040261642,146
271230370001,107.52674086012279,208
271230370002,134.81839637082174,142
271230370003,101.33114032714721,171
271230370004,82.79492738084863,175
271230371001,437.2973816523488,287
271230371002,427.57338551411266,359
271230371003,277.59502877393174,271
271230371004,100.55844071981228,153
271230371005,183.31393836803574,263
271230372001,455.9451721424408,414
271230372002,146.338648346908,212
271230372003,350.77628198040986,371
271230372004,516.6623655734952,428
271230372005,310.9324685522565,345
271230374021,137.56089560627322,186
271230374022,167.22440013347335,227
271230374023,280.61895873229946,299
271230374031,114.12274094149684,228
271230374032,280.9590717524529,366
271230374033,745.7271619030649,698
271230374034,357.898030170606,396
271230374035,314.017515435047,487
271230375001,297.6390431378249,370
271230375002,230.20860105565126,300
271230375003,20.12461179749811,183
271230375004,165.99698792448012,212
271230375005,105.76388797694608,259
271230375006,17.74823934929885,211
271230376011,232.24125387191657,361
271230376012,61.927376821564145,224
271230376013,131.4229812475733,289
271230376021,365.36557035385806,463
271230376022,60.56401571890688,209
271230376023,696.1630556126919,489
271230376024,129.32517156377563,487
271230401001,263.54885695066105,322
271230401002,82.75264346230881,164
271230401003,179.35160997325895,312
271230401004,100.4937809021036,259
271230401005,109.17417276993676,258
271230402001,81.28345465099278,129
271230402002,86.78133439859057,144
271230403011,69.39020103732227,207
271230403012,99.498743710662,152
271230403021,439.2709869772872,419
271230403022,228.3111911405133,282
271230403023,453.3651949587661,389
271230404011,55.263007518592396,164
271230404012,92.34717104492157,202
271230404013,123.79822292747178,199
271230404021,240.4953221998299,335
271230404022,222.75098204048393,375
271230405021,92.44457799135652,146
271230405022,117.17081547894082,277
271230405023,103.89898940798221,185
271230405031,81.90238091777309,212
271230405032,240.45997587956296,219
271230405041,195.8749601148651,306
271230405042,100.92076099594176,252
271230406011,85.60373823613078,302
271230406012,48.579831205964474,223
271230406013,342.3828266721332,347
271230406031,20.12461179749811,348
271230406032,157.7529714458653,363
271230406033,72.95889253545451,284
271230406041,481.6004568104146,434
271230406042,128.84874853874211,282
271230406043,442.55621111899444,513
271230406044,103.88455130576442,476
271230406045,165.85837331892532,370
271230407031,206.60832509848194,376
271230407032,186.46715528478467,307
271230407033,106.7145725756328,251
271230407041,33.28663395418648,156
271230407042,254.2852728728111,375
271230407043,303.9374935739255,358
271230407051,124.84790747145104,210
271230407052,128.81770064707723,189
271230407061,28.722813232690143,124
271230407062,122.13926477591062,175
271230407063,184.88915598271305,221
271230407071,50.32891812864648,224
271230407072,57.23635208501674,196
271230407073,152.89211882893113,228
271230408011,176.41428513586987,243
271230408012,89.05616205518852,275
271230408021,20.12461179749811,9
271230408031,53.80520420925842,159
271230408032,53.925875050851054,201
271230408033,59.28743543112655,206
271230408034,57.47173218200405,197
271230409011,92.38506372785592,165
271230409012,217.57527433051763,189
271230409021,223.503914954526,281
271230409022,233.76911686533788,243
271230410011,127.88275880665071,237
271230410012,148.92951352905172,268
271230410021,213.46428272664258,274
271230410022,85.10581648747635,237
271230411031,293.67328785573943,170
271230411032,131.6282644419503,157
271230411041,226.4751642012872,228
271230411042,30.315012782448235,198
271230411051,381.9568038404343,317
271230411052,62.289646009589745,259
271230411053,45.73838650411709,317
271230411061,140.06427096158393,199
271230411062,284.5259214904681,195
271230411071,271.93013808697265,387
271230411072,252.10117016785145,283
271230411073,197.81051539288805,226
271230411074,257.709138371149,433
271230412001,289.05535801987827,297
271230412002,368.9159795942702,386
271230412003,244.92039523077696,305
271230413011,272.1598794826306,307
271230413012,36.53765181289022,182
271230413013,45.803929962395145,158
271230413021,66.35510530471637,220
271230413022,226.95594286116415,294
271230414001,86.46386528486914,296
271230414002,101.6070863670443,475
271230414003,266.82391197192203,414
271230414004,168.87273314540747,259
271230415001,170.88885276693736,272
271230415002,253.26468368092696,345
271230415003,112.63214461245067,224
271230416011,165.27552752903256,307
271230416012,203.40845606807991,351
271230416013,140.19985734657507,332
271230416021,221.37524703543528,252
271230416022,387.13950973776883,324
271230417001,124.87994234463756,206
271230417002,64.06246951218786,136
271230417003,171.09646401956996,235
271230418001,124.90796611905904,179
271230418002,87.10912696153027,218
271230418003,159.17600321656528,273
271230418004,52.94336596779619,125
271230419001,49.82971001320397,160
271230419002,182.4171044611771,174
271230419003,95.59811713627,185
271230420011,56.84188596448925,98
271230420012,110.27692415006868,97
271230420021,185.52358340653083,156
271230420022,66.14378277661477,157
271230421011,455.54692403746947,395
271230421012,117.40953964648699,386
271230421013,121.88108959145384,258
271230421014,89.47066558375433,116
271230421021,348.9125965051993,306
271230421022,160.09372255026116,248
271230422011,146.02397063496116,126
271230422021,198.98492405204973,233
271230422022,470.11062527877414,451
271230422023,175.7014513315129,358
271230423011,247.36006144889276,233
271230423012,96.4779767615387,233
271230423021,210.83168642308016,291
271230423022,146.13692209705252,193
271230423023,259.1370293879283,316
271230423024,104.72821969268837,195
271230423025,189.24587181759077,250
271230424011,255.71272944458593,377
271230424012,487.6166527098926,422
271230424021,346.2152509639054,392
271230424022,149.13081505845798,231
271230424023,251.39809068487375,381
271230424024,209.37764923697085,259
271230425011,125.07597691003656,202
271230425012,307.57763247674563,384
271230425013,340.4394219240774,475
271230425014,202.38329970627518,302
271230425031,66.29479617586888,215
271230425032,20.12461179749811,122
271230425041,61.09828148156051,204
271230425042,151.58495967608397,275
271230426011,236.46141334264243,323
271230426012,228.66350823863436,291
271230426013,239.0920324895834,473
271230426021,60.96720429870473,195
271230426022,169.18333251239616,198
271230426023,93.96807968666806,204
271230427001,168.48442064475873,303
271230427002,402.1815510438041,414
271230427003,43.86342439892262,296
271230428001,106.19322012256714,114
271230428002,366.56104539353333,157
271230429001,102.91258426451063,232
271230429002,40.34848200366403,154
271230429003,218.0665036175891,218
271230429004,60.049979184009715,169
271230430001,54.699177324709375,278
271230430002,146.6799236432853,238
271230430003,20.12461179749811,272
271230430004,36.09709129556009,145
271230430005,157.6832267554162,211
271230430006,46.130250378683186,189
271239800001,20.12461179749811,9
