id,totalwhite,totalppl,over65,total65
270030501091,1663,1735,173,1735
270030501092,1046,1124,96,1124
270030501093,1057,1128,161,1128
270030501094,1218,1293,144,1293
270030501101,1292,1306,108,1306
270030501102,1203,1347,130,1347
270030501111,1519,1553,102,1553
270030501112,1690,1800,248,1800
270030501113,447,447,63,447
270030502081,1291,1621,299,1621
270030502082,1334,1730,18,1730
270030502101,1053,1122,120,1122
270030502102,1017,1150,135,1150
270030502103,883,883,215,883
270030502104,707,854,148,854
270030502191,1245,1292,191,1292
270030502192,1352,1661,219,1661
270030502201,2064,2238,110,2238
270030502202,1369,1645,270,1645
270030502203,1153,1260,267,1260
270030502204,1535,1926,87,1926
270030502211,1870,2055,316,2055
270030502212,1195,1279,132,1279
270030502213,3781,3941,201,3941
270030502221,1192,1328,52,1328
270030502222,962,1052,115,1052
270030502223,1175,1330,58,1330
270030502224,1488,1733,220,1733
270030502231,2673,2874,343,2874
270030502241,780,802,100,802
270030502242,2205,2362,195,2362
270030502251,3543,3887,294,3887
270030502252,2749,3000,376,3000
270030502261,2866,3132,304,3132
270030502271,1027,1256,95,1256
270030502272,3071,3366,257,3366
270030502281,1814,2001,253,2001
270030502282,2662,3173,211,3173
270030502291,2424,3201,144,3201
270030502292,2147,2273,239,2273
270030502301,2082,2350,141,2350
270030502321,1581,1847,234,1847
270030502322,1939,2096,97,2096
270030502331,1100,1108,88,1108
270030502332,2030,2125,175,2125
270030502361,2446,2702,145,2702
270030502362,1537,1652,84,1652
270030502371,3232,3401,352,3401
270030502372,1974,2138,215,2138
270030504011,1341,1476,189,1476
270030504012,920,1168,91,1168
270030504021,796,945,184,945
270030504022,1461,1574,354,1574
270030504023,898,1029,243,1029
270030505011,687,823,303,823
270030505012,826,1164,145,1164
270030505013,756,831,184,831
270030505014,479,587,117,587
270030505041,1005,1262,210,1262
270030505042,1263,1381,161,1381
270030505051,1253,1364,165,1364
270030505052,585,668,164,668
270030505053,984,1392,328,1392
270030505054,1196,1710,196,1710
270030506021,930,1171,130,1171
270030506022,1093,1403,215,1403
270030506051,1179,1334,239,1334
270030506052,1409,1546,244,1546
270030506053,1302,1398,198,1398
270030506054,1562,1943,297,1943
270030506061,882,1074,286,1074
270030506062,733,764,106,764
270030506071,838,946,165,946
270030506072,1404,1827,154,1827
270030506073,725,832,151,832
270030506074,717,1017,223,1017
270030506081,1443,1766,216,1766
270030506082,878,1072,76,1072
270030506083,1167,1730,112,1730
270030506091,907,966,128,966
270030506092,832,894,211,894
270030506093,1458,1505,238,1505
270030506101,1170,1253,363,1253
270030506102,849,1323,94,1323
270030506103,1305,1694,180,1694
270030506104,2035,2251,341,2251
270030507021,1926,2181,324,2181
270030507022,729,1002,110,1002
270030507041,890,1004,44,1004
270030507042,1143,1261,193,1261
270030507043,723,865,142,865
270030507044,605,704,117,704
270030507045,689,902,142,902
270030507061,1008,1082,270,1082
270030507062,606,769,105,769
270030507063,787,1432,107,1432
270030507071,2497,2748,630,2748
270030507072,1641,1681,174,1681
270030507073,1396,1753,216,1753
270030507091,1013,1363,246,1363
270030507092,831,1051,207,1051
270030507101,564,896,93,896
270030507102,816,992,184,992
270030507103,677,714,113,714
270030507104,861,1017,203,1017
270030507111,558,616,48,616
270030507112,842,892,17,892
270030507113,813,1088,259,1088
270030507114,823,1155,144,1155
270030507115,1076,1170,157,1170
270030507121,922,1224,50,1224
270030507122,676,759,106,759
270030507123,672,907,110,907
270030507124,1120,1405,316,1405
270030508051,1995,2804,187,2804
270030508052,763,1114,220,1114
270030508053,1622,1979,255,1979
270030508054,713,1022,48,1022
270030508061,1729,2457,139,2457
270030508062,439,515,99,515
270030508063,1428,1515,191,1515
270030508064,1751,2176,215,2176
270030508071,482,582,40,582
270030508072,729,967,131,967
270030508073,637,869,185,869
270030508074,813,982,145,982
270030508081,531,581,115,581
270030508082,1321,1531,350,1531
270030508091,1620,2045,338,2045
270030508092,869,1559,172,1559
270030508093,1947,2688,108,2688
270030508101,747,1003,84,1003
270030508102,688,965,263,965
270030508103,1104,1413,234,1413
270030508104,613,857,89,857
270030508111,883,1176,211,1176
270030508112,795,859,175,859
270030508113,803,822,133,822
270030508131,942,1436,112,1436
270030508132,2466,2983,193,2983
270030508133,435,448,74,448
270030508134,655,803,42,803
270030508135,1033,1100,218,1100
270030508161,1660,2009,296,2009
270030508162,665,868,79,868
270030508163,1078,1438,30,1438
270030508164,875,875,133,875
270030508181,1005,1182,36,1182
270030508182,1125,1349,203,1349
270030508183,2697,3233,271,3233
270030508191,1676,1892,98,1892
270030508192,2178,2537,435,2537
270030508201,2101,2324,256,2324
270030508202,620,796,63,796
270030508211,1031,1545,45,1545
270030508212,1256,1405,255,1405
270030508213,1245,1749,225,1749
270030509011,941,1240,123,1240
270030509012,621,698,61,698
270030509021,718,863,60,863
270030509022,625,833,118,833
270030509023,2015,2471,252,2471
270030509024,775,800,258,800
270030510011,1256,1743,255,1743
270030510012,821,932,267,932
270030510021,694,745,171,745
270030510022,1009,1275,272,1275
270030510023,1077,1598,210,1598
270030511011,763,1450,201,1450
270030511012,987,1156,133,1156
270030511013,689,717,91,717
270030511014,641,721,105,721
270030511015,459,710,164,710
270030511021,1756,3303,337,3303
270030511022,486,639,189,639
270030511023,625,829,210,829
270030511031,820,972,211,972
270030511032,735,990,123,990
270030511033,438,1570,91,1570
270030512011,440,813,114,813
270030512012,549,1027,64,1027
270030512013,954,1640,256,1640
270030512021,704,863,105,863
270030512022,777,1237,113,1237
270030512023,720,1067,212,1067
270030512031,1966,2789,415,2789
270030512032,779,1643,315,1643
270030512033,780,1062,250,1062
270030512061,1078,1421,210,1421
270030512062,582,954,129,954
270030513021,622,728,156,728
270030513022,1222,2094,440,2094
270030513023,828,1294,261,1294
270030513041,718,1022,129,1022
270030513042,806,1408,168,1408
270030513051,901,1273,135,1273
270030513052,483,1037,147,1037
270030513053,355,886,79,886
270030514001,855,984,102,984
270030514002,396,1334,168,1334
270030514003,425,481,70,481
270030514004,1117,2098,111,2098
270030515011,1017,2089,410,2089
270030515012,509,928,53,928
270030515021,621,869,101,869
270030515022,990,1425,416,1425
270030515023,423,759,49,759
270190903011,1323,1386,162,1386
270190903012,1843,1886,513,1886
270190903013,3625,3782,648,3782
270190903021,4970,5325,290,5325
270190904011,2701,2967,253,2967
270190904012,2832,3029,375,3029
270190904021,1389,1443,196,1443
270190904022,4239,4390,315,4390
270190905011,2237,2441,252,2441
270190905021,2660,3141,125,3141
270190905031,914,986,102,986
270190905032,1493,1586,149,1586
270190906011,1240,1495,220,1495
270190906012,2667,2758,387,2758
270190906021,1308,1463,132,1463
270190906022,1465,1484,102,1484
270190907011,2880,3615,347,3615
270190907012,1649,1948,381,1948
270190907013,1231,1269,140,1269
270190907021,1740,2152,159,2152
270190907022,722,770,55,770
270190908001,2056,2216,222,2216
270190908002,1720,2122,310,2122
270190908003,1848,2042,83,2042
270190908004,926,957,128,957
270190908005,1276,1476,95,1476
270190909001,1025,1056,120,1056
270190909002,891,1020,137,1020
270190909003,1232,1314,43,1314
270190909004,1742,1941,94,1941
270190910001,529,643,46,643
270190910002,1239,2034,385,2034
270190910003,1895,3029,267,3029
270190910004,4358,5196,301,5196
270190911001,4333,5025,304,5025
270190911002,1510,1525,224,1525
270370601011,495,750,62,750
270370601012,596,1161,74,1161
270370601013,608,905,72,905
270370601014,568,858,157,858
270370601021,606,860,106,860
270370601022,604,795,82,795
270370601023,778,918,85,918
270370601031,988,1125,136,1125
270370601032,1117,1381,263,1381
270370601041,916,1477,244,1477
270370601042,1159,1545,288,1545
270370601043,606,1671,205,1671
270370601044,950,1124,422,1124
270370601051,601,1372,174,1372
270370601052,1136,2006,404,2006
270370601053,918,1802,365,1802
270370602011,711,1025,155,1025
270370602012,513,785,95,785
270370602013,870,969,177,969
270370602021,419,643,48,643
270370602022,1504,1813,327,1813
270370602023,860,941,163,941
270370603011,642,1123,236,1123
270370603012,524,639,41,639
270370603013,591,837,14,837
270370603014,1253,1763,126,1763
270370603021,588,748,107,748
270370603022,1849,2306,207,2306
270370603023,589,662,114,662
270370604011,867,1111,111,1111
270370604012,1056,1331,149,1331
270370604021,526,840,96,840
270370604022,821,1170,127,1170
270370604023,562,740,112,740
270370604024,273,603,53,603
270370605021,735,854,108,854
270370605022,865,1638,210,1638
270370605023,693,1188,109,1188
270370605024,644,698,134,698
270370605031,572,881,74,881
270370605032,1274,1557,279,1557
270370605033,825,1043,184,1043
270370605034,1181,1440,153,1440
270370605051,604,870,98,870
270370605052,492,520,123,520
270370605053,850,1577,31,1577
270370605054,1413,1472,465,1472
270370605055,854,1647,42,1647
270370605061,1851,2741,278,2741
270370605062,2415,2460,798,2460
270370605071,1009,1207,169,1207
270370605072,2116,2412,450,2412
270370605081,1194,1280,152,1280
270370605082,1533,2356,241,2356
270370605083,1523,1633,74,1633
270370605084,688,718,140,718
270370605091,1057,1604,239,1604
270370605092,1580,1894,364,1894
270370605093,1525,2037,397,2037
270370606031,1030,1200,182,1200
270370606032,1114,1219,316,1219
270370606033,938,964,364,964
270370606034,1107,1244,284,1244
270370606041,1165,1298,433,1298
270370606042,1970,2088,552,2088
270370606051,1363,1615,258,1615
270370606061,1371,1568,345,1568
270370606062,1156,1191,221,1191
270370607091,560,1013,41,1013
270370607092,1926,2112,373,2112
270370607093,1416,2492,195,2492
270370607101,1350,1752,331,1752
270370607102,1372,2251,147,2251
270370607111,1992,2467,392,2467
270370607112,1633,2426,676,2426
270370607131,728,810,265,810
270370607132,1949,2194,345,2194
270370607141,2095,2540,374,2540
270370607142,1622,2159,272,2159
270370607161,979,1910,113,1910
270370607162,1701,1940,236,1940
270370607171,630,1114,60,1114
270370607172,967,1137,86,1137
270370607211,771,1248,76,1248
270370607212,1048,1464,180,1464
270370607251,836,957,242,957
270370607252,753,897,126,897
270370607253,1192,1957,120,1957
270370607261,487,609,115,609
270370607262,1249,2072,267,2072
270370607271,1151,1712,231,1712
270370607272,1201,1330,261,1330
270370607281,2063,2478,299,2478
270370607282,1758,2406,147,2406
270370607291,1419,1594,210,1594
270370607292,1852,2284,424,2284
270370607301,2170,2471,159,2471
270370607302,1528,1818,54,1818
270370607303,1388,1555,52,1555
270370607311,1704,1885,176,1885
270370607312,897,1075,187,1075
270370607313,1176,1313,175,1313
270370607321,1227,1433,55,1433
270370607322,2212,2749,181,2749
270370607323,1148,1234,51,1234
270370607331,1320,1565,193,1565
270370607332,1018,1404,161,1404
270370607333,1062,1205,206,1205
270370607341,1532,1725,186,1725
270370607342,2027,2835,267,2835
270370607351,1117,1886,331,1886
270370607352,1009,1219,255,1219
270370607353,795,1148,47,1148
270370607354,440,988,41,988
270370607371,1783,2940,438,2940
270370607372,1592,1911,577,1911
270370607381,1478,1926,261,1926
270370607382,844,1407,224,1407
270370607391,769,1530,262,1530
270370607392,1220,1537,105,1537
270370607393,1211,2488,93,2488
270370607411,1426,2686,281,2686
270370607412,646,958,173,958
270370607413,689,1591,188,1591
270370607414,1617,1920,199,1920
270370607421,1336,1521,314,1521
270370607422,913,941,100,941
270370607423,583,888,208,888
270370607431,789,1734,78,1734
270370607441,1133,1564,184,1564
270370607451,1168,1706,193,1706
270370607452,1495,2754,419,2754
270370607461,869,1172,47,1172
270370607462,1950,2311,451,2311
270370607471,1388,1771,195,1771
270370607472,1203,1701,377,1701
270370607481,1882,2601,336,2601
270370607482,452,826,33,826
270370607491,1093,1572,298,1572
270370607501,1300,1765,275,1765
270370607502,708,1212,187,1212
270370607503,1050,1638,237,1638
270370608051,1026,1478,67,1478
270370608052,542,1733,67,1733
270370608061,1436,1646,309,1646
270370608062,2139,2398,247,2398
270370608063,1410,1836,541,1836
270370608111,1564,1751,344,1751
270370608112,973,1246,78,1246
270370608113,1775,2235,548,2235
270370608121,1154,1395,148,1395
270370608122,1721,2475,322,2475
270370608123,1583,2053,249,2053
270370608131,1578,1647,304,1647
270370608132,2410,2879,517,2879
270370608141,1652,2055,170,2055
270370608142,2408,2859,228,2859
270370608143,1328,1477,220,1477
270370608151,1759,2005,274,2005
270370608152,2891,3174,363,3174
270370608161,2254,2694,136,2694
270370608162,1874,2179,74,2179
270370608163,1090,1183,105,1183
270370608171,1393,1438,206,1438
270370608172,1441,1645,134,1645
270370608173,2142,2587,269,2587
270370608174,2585,3398,79,3398
270370608181,2316,2620,304,2620
270370608182,3349,4185,73,4185
270370608183,780,837,0,837
270370608191,1490,1692,71,1692
270370608192,2735,3092,68,3092
270370608193,1409,1949,133,1949
270370608201,2290,2603,353,2603
270370608202,1878,1878,63,1878
270370608203,3432,3570,175,3570
270370608211,3698,4291,715,4291
270370608212,739,847,32,847
270370608213,1734,2272,185,2272
270370608221,1268,1352,189,1352
270370608231,2076,2768,235,2768
270370608232,985,1066,197,1066
270370608241,1300,1604,378,1604
270370608242,1356,2055,426,2055
270370608251,2647,2769,355,2769
270370608252,2098,2185,210,2185
270370608253,1628,1989,290,1989
270370608261,2641,2992,542,2992
270370608262,1271,1694,150,1694
270370608263,2364,2958,300,2958
270370608281,2944,4252,375,4252
270370608291,2366,3179,270,3179
270370609021,4714,4946,505,4946
270370609041,483,490,128,490
270370609042,1045,1381,200,1381
270370609043,1416,1546,138,1546
270370609051,4755,5502,292,5502
270370609061,2836,3266,292,3266
270370609071,5176,5831,96,5831
270370609072,1413,1608,96,1608
270370610031,1458,1578,258,1578
270370610041,2354,2621,194,2621
270370610042,2958,3590,340,3590
270370610051,1566,1921,206,1921
270370610052,520,666,41,666
270370610071,2629,2979,354,2979
270370610072,1465,1705,146,1705
270370610081,1169,1431,219,1431
270370610082,451,751,52,751
270370610091,2624,3191,143,3191
270370610092,2303,3041,309,3041
270370611021,830,879,107,879
270370611022,1535,1959,364,1959
270370611023,2043,2059,430,2059
270370611051,784,924,121,924
270370611052,1357,1425,246,1425
270370611061,1391,1503,245,1503
270370611062,1463,1503,366,1503
270370611071,1809,1939,268,1939
270370611072,4364,4619,869,4619
270370611081,1043,1063,90,1063
270370611082,1777,1835,263,1835
270370611083,2924,3400,340,3400
270530001011,374,1024,76,1024
270530001012,240,721,79,721
270530001013,285,594,86,594
270530001014,329,798,79,798
270530001021,588,1226,148,1226
270530001022,546,1257,137,1257
270530001023,406,980,139,980
270530001024,324,893,41,893
270530001025,298,966,47,966
270530003001,744,959,71,959
270530003002,485,845,125,845
270530003003,496,830,55,830
270530003004,478,498,30,498
270530006011,1081,1442,201,1442
270530006012,960,1146,80,1146
270530006013,1009,1866,77,1866
270530006014,571,644,98,644
270530006031,579,641,33,641
270530006032,609,742,91,742
270530006033,845,916,100,916
270530006034,506,528,84,528
270530011001,548,923,59,923
270530011002,879,1155,56,1155
270530017001,597,726,66,726
270530017002,804,1684,58,1684
270530022001,79,897,51,897
270530022002,118,609,38,609
270530024001,661,849,64,849
270530024002,1074,1518,173,1518
270530027001,246,1285,114,1285
270530027002,324,1506,164,1506
270530032001,233,768,75,768
270530032002,266,984,114,984
270530033001,82,1058,52,1058
270530033002,48,1427,67,1427
270530038001,1144,1319,16,1319
270530038002,2004,2555,45,2555
270530038003,1225,1719,61,1719
270530059011,664,1276,173,1276
270530059012,903,1803,493,1803
270530059021,636,1846,47,1846
270530059022,234,1504,43,1504
270530068001,788,1486,18,1486
270530068002,675,933,119,933
270530068003,1335,1777,51,1777
270530077001,520,1917,24,1917
270530077002,1676,2169,26,2169
270530078011,277,960,22,960
270530078012,181,1033,24,1033
270530081001,667,782,96,782
270530081002,628,697,90,697
270530081003,618,700,35,700
270530081004,977,1134,19,1134
270530082001,223,1827,344,1827
270530082002,637,1205,49,1205
270530082003,514,744,17,744
270530082004,326,727,82,727
270530083001,256,1714,63,1714
270530083002,310,505,13,505
270530084001,244,1004,18,1004
270530084002,428,1937,98,1937
270530085001,319,1367,51,1367
270530085002,394,890,15,890
270530085003,451,530,88,530
270530085004,411,1303,0,1303
270530085005,489,1168,82,1168
270530095001,278,1210,132,1210
270530095002,211,633,43,633
270530095003,748,1081,91,1081
270530096001,493,837,49,837
270530096002,518,996,68,996
270530096003,730,914,9,914
270530096004,521,725,31,725
270530106001,559,796,159,796
270530106002,1076,1173,113,1173
270530106003,865,962,92,962
270530107001,604,677,82,677
270530107002,803,991,140,991
270530107003,747,856,81,856
270530110001,502,883,44,883
270530110002,533,702,122,702
270530110003,791,834,68,834
270530110004,1137,1243,146,1243
270530117031,665,773,48,773
270530117032,680,748,94,748
270530117033,827,1082,113,1082
270530117034,702,834,57,834
270530117035,804,903,159,903
270530117041,899,1040,78,1040
270530117042,713,750,94,750
270530117043,1077,1427,142,1427
270530118001,847,1000,128,1000
270530118002,857,970,130,970
270530118003,618,660,120,660
270530118004,789,1166,44,1166
270530118005,969,1096,128,1096
270530119981,543,858,136,858
270530119982,535,601,114,601
270530119983,1129,1450,218,1450
270530119984,493,730,262,730
270530119985,512,560,57,560
270530120011,630,719,68,719
270530120012,565,999,137,999
270530120013,626,639,98,639
270530120014,943,1003,113,1003
270530120015,538,629,74,629
270530120016,755,796,117,796
270530120017,466,937,115,937
270530120031,280,502,130,502
270530120032,788,1272,25,1272
270530120033,1241,1311,294,1311
270530120034,168,767,2,767
270530120035,152,891,0,891
270530120036,586,799,62,799
270530121011,771,944,71,944
270530121012,294,1008,12,1008
270530121013,682,1036,77,1036
270530121021,602,649,129,649
270530121022,401,588,39,588
270530121023,439,462,62,462
270530121024,778,1140,94,1140
270530201011,1128,1326,199,1326
270530201012,915,1015,183,1015
270530201013,733,938,204,938
270530201021,859,897,130,897
270530201022,1000,1384,406,1384
270530202001,393,1070,112,1070
270530202002,382,841,55,841
270530202003,443,1856,199,1856
270530202004,382,643,80,643
270530202005,350,1065,144,1065
270530202006,190,757,30,757
270530202007,372,1564,119,1564
270530203011,575,1126,157,1126
270530203012,513,1523,143,1523
270530203021,466,1634,139,1634
270530203022,469,845,174,845
270530203031,341,843,87,843
270530203032,471,1524,198,1524
270530203033,634,1172,150,1172
270530203041,434,1755,176,1755
270530203042,267,766,106,766
270530203043,452,965,74,965
270530204001,242,583,70,583
270530204002,880,1536,140,1536
270530204003,787,1720,204,1720
270530204004,599,1257,224,1257
270530205001,707,1117,111,1117
270530205002,435,1183,128,1183
270530205003,662,1303,133,1303
270530206001,657,1310,276,1310
270530206002,427,927,84,927
270530207001,723,1088,154,1088
270530207002,570,1052,107,1052
270530207003,977,1078,124,1078
270530207004,880,1048,207,1048
270530208011,660,1072,110,1072
270530208012,702,932,140,932
270530208041,213,1244,147,1244
270530208042,833,1022,79,1022
270530208043,599,867,168,867
270530209021,1073,1227,134,1227
270530209022,845,992,204,992
270530209031,928,1167,210,1167
270530209032,482,610,63,610
270530209033,1164,1352,195,1352
270530210011,932,1822,152,1822
270530210012,851,1067,89,1067
270530210013,609,656,70,656
270530210014,729,1074,100,1074
270530210015,1242,1464,324,1464
270530210021,1520,1912,407,1912
270530211001,428,597,77,597
270530211002,1094,1375,138,1375
270530212001,582,783,92,783
270530212002,877,1130,166,1130
270530212003,976,1127,88,1127
270530212004,658,787,90,787
270530212005,464,801,82,801
270530213001,1157,1721,475,1721
270530213002,691,950,251,950
270530213003,591,998,63,998
270530213004,778,946,73,946
270530214001,879,1066,83,1066
270530214002,819,1008,130,1008
270530214003,619,1157,60,1157
270530215011,939,1455,333,1455
270530215012,1107,1352,234,1352
270530215013,1068,1430,596,1430
270530215021,748,1847,88,1847
270530215022,647,734,427,734
270530215023,412,1245,148,1245
270530215031,725,1277,268,1277
270530215032,822,1254,147,1254
270530215033,881,975,196,975
270530215034,534,1439,162,1439
270530215041,474,839,85,839
